@relation 'pouchdb-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R2,5,6,10,8,11,7,12,15,17,18,16,19,1,20,53'

@attribute created_at_day_turn {noite,manha,tarde,madrugada}
@attribute intra_branch {false,true}
@attribute description_length numeric
@attribute files_modified numeric
@attribute files_added numeric
@attribute files_changed numeric
@attribute num_commits numeric
@attribute src_files numeric
@attribute src_churn numeric
@attribute new_entropy numeric
@attribute entropy_diff numeric
@attribute test_churn numeric
@attribute commits_on_files_touched numeric
@attribute created_at_week_day {sabado,sexta-feira,quarta-feira,terca-feira,segunda-feira,quinta-Feira,domingo}
@attribute commits_to_hottest_file numeric
@attribute status {0,1}

@data
madrugada,true,169,1,0,1,1,0,0,4.296799,0.176824,0,61,quarta-feira,61,1
noite,true,130,1,0,1,1,0,0,4.350194,0.17902,0,60,terca-feira,60,1
tarde,true,223,1,0,1,1,0,0,4.611739,0.189783,0,59,terca-feira,59,1
noite,true,8,1,0,1,1,1,2,4.793443,0.19726,0,0,segunda-feira,0,1
madrugada,true,65,1,0,1,2,1,102,4.311356,0.177422,0,2,segunda-feira,2,0
noite,true,9,2,0,2,2,1,133,18.833498,0.775041,0,59,domingo,59,1
madrugada,true,32,3,0,3,2,2,11,23.628951,0.9703,0,60,domingo,59,1
madrugada,true,7,2,0,2,2,0,0,14.08306,0.578307,0,67,domingo,59,0
madrugada,true,6,2,0,2,1,0,0,9.68942,0.397886,0,67,domingo,59,0
tarde,true,9,1,0,1,1,0,0,4.80209,0.197193,0,0,sabado,0,1
tarde,false,126,1,1,2,2,2,28,13.951703,0.572896,76,1,sabado,1,0
madrugada,true,5,1,0,1,1,0,0,4.631797,0.190194,0,57,sabado,57,1
noite,true,8,2,0,2,1,2,0,8.982649,0.368846,27,10,quinta-Feira,9,1
madrugada,false,9,12,0,12,1,12,44,57.878408,2.376587,0,3,quinta-Feira,2,1
madrugada,true,7,2,0,2,1,2,9,9.514577,0.390709,7,2,quinta-Feira,1,1
noite,false,21,15,0,15,1,15,315,72.806598,2.989752,0,2,quarta-feira,1,1
noite,true,5,6,0,6,2,4,80,54.922534,2.255356,111,67,quarta-feira,57,1
tarde,true,50,2,0,2,5,2,6,17.400396,0.714535,125,1,quarta-feira,1,1
noite,true,12,1,0,1,1,1,4,4.601911,0.188974,0,0,terca-feira,0,1
madrugada,true,141,1,0,1,1,0,0,4.308915,0.176943,0,58,terca-feira,58,1
noite,true,12,1,0,1,1,1,5,4.592417,0.188584,0,0,segunda-feira,0,1
manha,true,30,2,1,5,2,4,917,29.017164,1.191569,0,60,segunda-feira,60,1
manha,true,25,3,0,3,1,1,3,13.385637,0.549672,0,71,segunda-feira,60,1
manha,true,27,2,0,2,1,1,0,9.281582,0.381142,6,60,segunda-feira,60,1
manha,true,17,1,0,1,1,0,0,4.742072,0.19473,0,60,segunda-feira,60,1
madrugada,true,7,1,0,1,1,0,0,5.304252,0.217815,0,13,segunda-feira,13,0
madrugada,true,18,7,1,10,2,7,460,42.472626,1.744108,6,71,segunda-feira,60,0
madrugada,true,54,4,2,6,2,2,204,47.12158,1.935014,0,60,segunda-feira,60,1
noite,true,30,1,0,1,1,1,1,4.909913,0.201622,0,1,domingo,1,0
tarde,true,7,1,0,1,1,0,0,4.628833,0.190079,0,12,domingo,12,1
manha,true,235,1,0,1,1,0,0,4.341355,0.178291,0,59,domingo,59,1
manha,false,130,20,2,22,7,1,26,134.467317,5.522323,0,1,domingo,1,1
madrugada,false,20,1,2,3,2,1,114,18.134543,0.748356,0,0,domingo,0,1
madrugada,false,62,1,0,1,1,0,0,4.314427,0.178043,0,2,domingo,2,1
madrugada,true,233,1,0,1,1,0,0,4.344803,0.179296,0,61,domingo,61,0
madrugada,true,18,2,0,2,1,0,0,9.762562,0.40287,0,71,domingo,61,0
noite,true,78,8,0,8,1,7,35,36.892302,1.522429,110,69,sabado,61,1
noite,true,26,1,0,1,2,1,0,9.342844,0.38555,24,2,sabado,2,1
noite,true,7,1,0,1,1,1,0,4.291128,0.177081,72,1,sabado,1,1
noite,true,22,1,0,1,2,1,0,8.598393,0.354829,144,1,sabado,1,0
manha,false,3,6,1,7,2,1,8,33.019993,1.365656,0,3,sabado,3,1
manha,false,1,7,1,8,5,1,8,46.931776,1.941026,0,15,sabado,12,0
madrugada,true,61,6,1,9,2,7,924,53.319517,2.205213,6,73,sabado,63,0
madrugada,true,23,4,0,4,1,4,15,18.745871,0.7753,41,9,sabado,7,1
noite,true,133,4,0,4,3,4,26,27.879065,1.153361,71,9,quinta-Feira,6,0
madrugada,false,24,1,0,1,1,1,5,4.837082,0.20011,0,0,quinta-Feira,0,1
manha,true,377,23,36,94,2,187,5491,497.685949,20.589518,46,92,quarta-feira,69,1
manha,true,12,1,0,1,1,0,0,4.543851,0.187993,0,0,domingo,0,1
madrugada,false,8,4,1,5,2,5,31,14.111018,0.583817,32,9,domingo,6,1
manha,true,152,1,0,1,1,0,0,4.347643,0.179876,0,74,sabado,74,1
madrugada,true,52,2,0,2,2,1,8,22.390343,0.926426,0,9,sabado,9,1
madrugada,true,231,9,2,13,1,10,37,53.801216,2.226086,8,87,sabado,73,1
noite,true,4,1,0,1,1,0,0,5.350341,0.221377,0,8,quinta-Feira,8,0
tarde,true,3,1,0,1,2,0,0,5.275619,0.218285,0,8,quinta-Feira,8,1
tarde,true,2,1,0,1,3,0,0,14.853288,0.614573,0,8,quinta-Feira,8,0
noite,true,122,1,0,1,1,0,0,4.446315,0.183972,0,72,quarta-feira,72,1
tarde,false,8,1,0,1,1,0,0,4.463537,0.184684,0,72,quarta-feira,72,0
tarde,true,2,1,0,1,2,0,0,4.858423,0.201022,0,7,quarta-feira,7,0
madrugada,true,235,1,0,1,1,0,0,4.357029,0.180277,0,70,quarta-feira,70,1
madrugada,true,124,1,0,1,1,0,0,4.443009,0.183834,0,70,quarta-feira,70,1
tarde,true,6,3,0,3,2,2,0,24.658943,1.020289,14,15,segunda-feira,7,0
manha,true,7,2,0,2,1,2,0,9.169163,0.379384,8,7,segunda-feira,6,1
madrugada,false,3,1,0,2,2,1,0,5.286344,0.218728,749,9,segunda-feira,7,0
madrugada,true,209,1,0,1,1,0,0,4.367539,0.180712,0,70,segunda-feira,70,0
madrugada,true,94,1,0,1,1,1,0,4.356117,0.180239,17,5,segunda-feira,5,1
madrugada,true,59,1,0,1,1,1,0,4.306535,0.178188,87,5,segunda-feira,5,1
noite,true,156,1,0,1,1,0,0,4.364158,0.180571,0,69,domingo,69,1
noite,true,1,2,0,2,2,1,0,9.611642,0.397691,89,11,domingo,6,0
noite,true,6,2,0,2,3,1,0,13.871079,0.57393,162,11,domingo,6,0
tarde,true,9,1,0,1,2,0,0,5.334372,0.220715,0,6,domingo,6,0
manha,true,71,1,0,1,1,0,0,5.166335,0.213762,0,6,domingo,6,1
madrugada,false,6,1,0,1,1,0,0,5.366839,0.222058,0,6,domingo,6,0
madrugada,true,2,2,0,3,4,2,24,24.374186,1.006424,0,6,domingo,4,0
noite,true,5,2,0,3,4,2,48,28.685062,1.184423,0,6,sabado,4,1
noite,false,3,1,0,1,1,0,0,4.531867,0.187123,0,3,sabado,3,1
noite,true,2,3,0,4,7,2,31,47.654252,1.967672,0,5,sabado,3,0
tarde,true,10,1,0,1,1,0,0,4.463308,0.184293,0,3,sabado,3,0
noite,true,7,2,0,2,4,0,0,5.349799,0.220896,0,3,quarta-feira,3,0
tarde,true,174,1,0,1,1,0,0,4.230176,0.174666,0,68,quarta-feira,68,1
noite,true,181,1,0,1,1,0,0,4.583814,0.189268,0,68,segunda-feira,68,1
madrugada,true,11,5,0,6,1,5,14,23.79048,0.980727,5,69,segunda-feira,67,1
