@relation 'node-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R6,2,10,8,12,7,11,15,9,1,16,17,18,19,20,53'

@attribute description_length numeric
@attribute created_at_day_turn {manha,madrugada,noite,tarde}
@attribute files_modified numeric
@attribute files_added numeric
@attribute src_files numeric
@attribute num_commits numeric
@attribute files_changed numeric
@attribute src_churn numeric
@attribute files_deleted numeric
@attribute created_at_week_day {terca-feira,segunda-feira,domingo,sabado,sexta-feira,quinta-Feira,quarta-feira}
@attribute test_churn numeric
@attribute new_entropy numeric
@attribute entropy_diff numeric
@attribute commits_on_files_touched numeric
@attribute commits_to_hottest_file numeric
@attribute status {0,1}

@data
128,madrugada,0,1,1,2,1,222,0,sexta-feira,0,9.373856,0.010752,0,0,1
159,madrugada,11,2,11,3,13,97,0,sexta-feira,105,72.565029,0.121113,10,5,0
283,madrugada,3,0,1,3,3,2,0,sexta-feira,0,27.828482,0.03192,8,8,0
118,madrugada,2,0,1,3,2,20,0,sexta-feira,0,19.032805,0.021831,22,21,1
36,noite,1,0,0,1,1,0,0,quinta-Feira,0,4.767784,0.005469,4,4,1
139,noite,1,0,1,1,1,2,0,quinta-Feira,0,4.542726,0.005211,19,19,0
93,noite,1,0,1,1,1,0,0,quinta-Feira,4,4.590192,0.005265,1,1,1
199,noite,3,0,1,4,3,4,0,quinta-Feira,0,14.401538,0.016519,0,0,0
128,tarde,3,0,1,1,3,8,0,quinta-Feira,0,13.52053,0.034475,0,0,0
75,manha,96,51,330,62,184,7452,37,quinta-Feira,161,937.509716,1.075344,63,20,0
134,madrugada,2,0,1,2,2,0,0,quinta-Feira,34,13.877981,0.015918,16,15,1
13,madrugada,9,2,10,2,11,186,0,quinta-Feira,210,106.532965,0.177805,5,5,0
283,madrugada,3,1,2,7,4,76,0,quinta-Feira,287,18.859674,0.021632,8,8,1
115,madrugada,0,1,1,1,1,0,0,quinta-Feira,23,4.601637,0.005278,0,0,0
114,madrugada,1,0,1,1,1,0,0,quinta-Feira,5,4.905597,0.005627,0,0,0
139,madrugada,2,0,0,2,2,0,0,quinta-Feira,0,0,0,0,0,0
63,madrugada,1,0,0,2,1,0,0,quinta-Feira,0,5.121092,0.005874,4,4,0
6,noite,7,2,8,2,9,63,0,quarta-feira,228,87.448372,0.223035,2,2,1
207,noite,3,4,7,4,7,39,0,quarta-feira,22,42.22413,0.048432,19,11,0
64,noite,26,1,168,3,27,8430,0,quarta-feira,0,72.893303,0.09607,17,12,0
150,noite,5,0,4,1,5,30,0,quarta-feira,13,24.2902,0.027866,35,20,1
24,noite,1,1,2,2,2,90,0,quarta-feira,48,19.200365,0.022027,17,17,1
180,tarde,2,0,2,1,2,4,0,quarta-feira,0,8.991277,0.010315,14,10,0
139,manha,2,0,2,2,2,8,0,quarta-feira,0,17.993083,0.020642,14,10,1
33,madrugada,18,0,18,4,18,169,0,quarta-feira,0,79.224635,0.090887,20,11,0
31,madrugada,2,0,1,1,2,0,0,quarta-feira,2,9.067895,0.010403,25,20,1
7,madrugada,1,0,1,2,1,0,0,quarta-feira,8,9.60268,0.024491,1,1,0
6,noite,49,0,44,2,49,7204,0,terca-feira,0,478.317769,0.798317,2,2,0
6,noite,49,0,44,2,49,7204,0,terca-feira,0,478.317769,1.219933,2,2,0
10,noite,24,1,166,2,25,16796,0,terca-feira,0,116.001302,0.133086,3,3,1
339,noite,1,0,0,3,1,0,0,terca-feira,0,4.896519,0.005618,20,20,0
154,noite,34,0,34,1,36,135,2,terca-feira,907,161.900669,0.185746,114,21,0
35,tarde,1,0,1,1,1,2,0,terca-feira,0,4.353185,0.004994,5,5,1
40,manha,1,0,1,1,1,5,0,terca-feira,0,5.380748,0.006173,9,9,1
208,manha,1,0,0,1,1,0,0,terca-feira,0,4.762805,0.005464,20,20,0
90,manha,1,0,0,2,1,0,0,terca-feira,0,9.377274,0.010758,20,20,1
118,madrugada,4,0,3,1,4,4,0,terca-feira,9,17.632911,0.02023,39,20,0
86,madrugada,2,0,1,1,2,3,0,terca-feira,0,8.722624,0.010007,22,20,0
139,noite,3,1,3,2,4,22,0,segunda-feira,91,38.710451,0.044412,14,10,1
141,noite,2,0,2,2,2,68,0,segunda-feira,20,17.251951,0.019793,11,8,0
39,tarde,1,0,1,1,1,5,0,segunda-feira,0,4.569254,0.005242,5,5,0
114,tarde,2,0,2,1,2,2,0,segunda-feira,16,8.953182,0.010272,9,7,0
141,madrugada,1,0,0,1,1,0,0,segunda-feira,0,4.55276,0.005223,12,12,1
125,noite,3,0,3,2,3,54,0,domingo,29,24.142439,0.027698,17,13,0
91,tarde,1,0,0,1,1,0,0,domingo,0,4.630865,0.005313,15,15,1
152,tarde,2,0,2,2,2,10,0,domingo,0,14.227779,0.016324,5,5,0
22,manha,1,0,1,1,1,0,0,domingo,27,4.931171,0.005658,12,12,1
50,manha,1,0,1,1,1,2,0,domingo,0,5.066556,0.005813,9,9,0
51,manha,10,0,10,1,10,91,0,domingo,0,45.587839,0.052305,6,3,1
23,madrugada,1,0,1,2,1,0,0,domingo,4,9.26163,0.010627,1,1,1
198,manha,2,0,2,3,2,144,0,sabado,0,19.911507,0.023263,17,16,1
39,manha,2,0,1,4,2,8,0,sabado,0,19.406562,0.022267,17,17,1
63,madrugada,1,0,1,2,1,26,0,sabado,0,9.436404,0.010827,5,5,1
91,madrugada,1,0,0,1,1,0,0,sabado,0,4.716356,0.005412,17,17,1
18,madrugada,2,0,0,1,2,0,0,sabado,0,9.530335,0.010935,18,15,1
21,madrugada,33,75,204,1,111,8188,3,sabado,0,342.633388,0.393142,2,2,0
176,madrugada,2,0,2,4,2,70,0,sabado,17,17.523055,0.020106,7,4,0
44,noite,1,0,1,2,1,0,0,sexta-feira,29,9.874439,0.01133,2,2,1
151,tarde,1,0,0,1,1,0,0,sexta-feira,0,4.743472,0.005443,9,9,1
79,manha,1,0,1,1,1,5,0,sexta-feira,0,4.427054,0.005079,3,3,1
71,madrugada,1,1,1,3,2,45,0,sexta-feira,0,4.989671,0.005725,0,0,1
190,madrugada,8,3,10,2,11,171,0,sexta-feira,263,93.506133,0.107285,60,20,0
133,noite,1,1,2,1,2,19,0,quinta-Feira,41,9.533339,0.01094,10,10,0
24,tarde,1,0,0,1,1,0,0,quinta-Feira,0,5.036306,0.005779,15,15,0
61,manha,52,0,52,2,52,560,0,quinta-Feira,0,450.841948,0.517364,7,2,1
31,manha,2,0,1,1,2,6,0,quinta-Feira,0,9.597317,0.011014,14,10,1
37,madrugada,1,0,0,2,1,0,0,quinta-Feira,0,9.107922,0.010452,4,4,0
