@relation 'netty-data-weka.filters.unsupervised.attribute.StringToNominal-Rfirst-last-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R7,2,8,12,6,11,10,9,15,1,17,14,18,19,16,53'

@attribute num_commits numeric
@attribute created_at_day_turn {noite,tarde,madrugada,manha}
@attribute files_added numeric
@attribute src_files numeric
@attribute description_length numeric
@attribute files_changed numeric
@attribute files_modified numeric
@attribute files_deleted numeric
@attribute src_churn numeric
@attribute created_at_week_day {terca-feira,segunda-feira,sabado,sexta-feira,quinta-Feira,domingo,quarta-feira}
@attribute new_entropy numeric
@attribute other_files numeric
@attribute entropy_diff numeric
@attribute commits_on_files_touched numeric
@attribute test_churn numeric
@attribute status {0,1}

@data
4,manha,0,2,83,2,2,0,6,sexta-feira,12.084997,0,0.112968,0,0,0
2,madrugada,0,5,62,5,5,0,27,sexta-feira,13.83023,0,0.129282,4,0,1
2,noite,3,8,88,8,5,0,1284,quinta-Feira,68.75303,0,0.642681,7,0,1
1,noite,0,4,55,4,4,0,88,quinta-Feira,17.541394,0,0.163971,3,36,1
2,manha,0,1,53,1,1,0,3,quarta-feira,4.257233,0,0.039795,0,0,0
1,madrugada,0,0,59,1,1,0,0,quarta-feira,5.097745,1,0.047652,2,0,1
2,noite,0,1,35,1,1,0,3,terca-feira,4.18854,0,0.039153,2,0,1
1,manha,3,5,198,5,2,0,493,terca-feira,23.381249,0,0.21856,2,771,0
2,madrugada,0,1,11,1,1,0,4,terca-feira,8.491534,0,0.079376,1,0,1
1,madrugada,0,3,141,3,3,0,13,terca-feira,13.413428,0,0.125384,6,0,1
1,madrugada,0,1,37,1,1,0,73,terca-feira,4.543767,0,0.042474,5,0,1
1,madrugada,0,2,57,2,2,0,9,terca-feira,8.363228,0,0.078177,1,87,1
5,?,0,1,173,1,1,0,11,segunda-feira,9.631268,0,0.149652,2,0,1
2,tarde,0,12,28,12,12,0,55,segunda-feira,102.632635,0,0.959364,7,2,1
2,tarde,0,3,72,3,3,0,34,segunda-feira,14.136858,0,0.132145,1,84,0
2,tarde,0,0,68,3,3,0,0,segunda-feira,25.65945,3,0.239853,10,0,1
1,manha,0,3,7,3,3,0,6,segunda-feira,13.666039,0,0.127744,2,0,1
1,noite,0,1,26,1,1,0,4,quinta-Feira,4.610412,0,0.043096,2,0,1
3,noite,0,4,19,4,4,0,16,quinta-Feira,36.009332,0,0.336599,3,0,1
1,manha,0,2,47,2,2,0,8,quinta-Feira,9.141811,0,0.085453,1,0,1
2,madrugada,0,5,54,5,5,0,153,quinta-Feira,34.795268,0,0.325248,1,0,1
1,noite,0,1,16,1,1,0,0,terca-feira,4.352606,0,0.040686,4,12,1
2,tarde,0,3,37,3,3,0,28,terca-feira,22.996195,0,0.214955,2,4,1
1,madrugada,0,1,69,1,1,0,0,terca-feira,4.834296,0,0.045188,3,2,0
2,tarde,0,1,50,1,1,0,156,segunda-feira,8.957546,0,0.083731,1,0,1
1,manha,0,1,4,1,1,0,2,segunda-feira,4.444024,0,0.041541,2,0,1
1,manha,0,20,27,20,20,0,71,domingo,91.408403,0,0.854441,7,0,1
2,noite,0,3,46,3,3,0,0,sabado,27.970772,0,0.261457,3,531,0
1,manha,0,15,32,15,15,0,56,sabado,66.696124,0,0.623442,18,0,1
1,manha,0,1,29,1,1,0,13,quinta-Feira,4.234355,0,0.039581,0,0,1
1,noite,0,2,51,2,2,0,26,quarta-feira,9.109436,0,0.085153,2,84,1
