@relation 'appium-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R13,2,6,7,10,12,15,8,11,14,16,23,1,17,18,53'

@attribute doc_files numeric
@attribute created_at_day_turn {manha,madrugada,noite,tarde}
@attribute description_length numeric
@attribute num_commits numeric
@attribute files_modified numeric
@attribute src_files numeric
@attribute src_churn numeric
@attribute files_added numeric
@attribute files_changed numeric
@attribute other_files numeric
@attribute test_churn numeric
@attribute at_mentions_comments numeric
@attribute created_at_week_day {terca-feira,sexta-feira,quarta-feira,quinta-Feira,sabado,segunda-feira,domingo}
@attribute new_entropy numeric
@attribute entropy_diff numeric
@attribute status {0,1}

@data
0,madrugada,10,1,2,0,0,0,2,2,0,0,sexta-feira,8.674161,0.326812,1
0,noite,28,78,46,39,473,3,50,8,115,2,segunda-feira,461.470526,17.386592,0
0,noite,5,1,7,7,8,0,7,0,19,0,segunda-feira,33.961413,1.279605,1
0,noite,77,1,2,2,6,0,2,0,0,1,quinta-Feira,9.292609,0.350135,1
0,madrugada,56,1,1,1,18,0,1,0,0,1,quinta-Feira,4.777331,0.180004,1
0,noite,23,1,1,1,2,0,1,0,0,0,terca-feira,4.609782,0.173691,1
0,noite,42,1,1,1,39,0,1,0,0,0,segunda-feira,4.657558,0.175491,1
0,tarde,34,1,1,1,10,0,1,0,0,2,domingo,4.758761,0.179301,1
0,madrugada,24,4,13,13,30,0,13,0,57,0,sexta-feira,34.357787,1.294562,1
0,madrugada,3,1,3,1,9,0,3,2,0,0,quinta-Feira,13.465198,0.516781,1
0,tarde,48,1,1,1,9,0,1,0,0,3,sabado,4.856016,0.182969,0
0,manha,11,57,32,25,339,3,36,8,58,2,sabado,324.521418,12.227608,0
0,madrugada,24,1,1,1,1,0,1,0,0,1,sexta-feira,4.89806,0.184554,1
0,madrugada,4,1,2,0,0,0,2,2,0,0,quinta-Feira,8.767797,0.330361,0
0,madrugada,6,2,1,0,0,0,1,1,0,0,quinta-Feira,9.079556,0.342108,0
0,madrugada,11,1,2,0,0,0,2,2,0,0,quinta-Feira,8.490959,0.319929,0
0,madrugada,15,2,2,0,0,0,2,2,0,0,quinta-Feira,17.203017,0.648188,0
0,noite,13,47,33,26,331,3,37,8,58,0,terca-feira,284.165112,10.706989,0
0,noite,15,1,3,1,8,0,3,2,0,0,terca-feira,13.330294,0.502272,0
0,tarde,84,4,3,3,31,0,3,0,0,0,sexta-feira,14.071937,0.530217,0
0,noite,4,1,2,1,6,0,3,2,0,2,sexta-feira,9.425324,0.361736,0
0,tarde,7,1,2,2,52,0,2,0,0,3,sexta-feira,9.739581,0.366981,0
0,madrugada,12,1,1,1,5,0,1,0,0,1,sexta-feira,4.976004,0.187777,0
0,noite,14,1,1,1,3,0,1,0,0,0,quinta-Feira,4.432728,0.637053,1
0,noite,30,1,1,1,1,0,1,0,0,0,quinta-Feira,4.586395,0.173074,0
0,manha,37,1,1,1,3,0,1,0,0,1,quinta-Feira,4.468388,0.168621,0
0,noite,46,2,4,4,48,0,4,0,0,0,quarta-feira,37.548953,1.41697,0
0,noite,47,1,1,0,0,0,1,1,0,4,terca-feira,4.429172,0.167142,0
0,manha,2,1,1,0,0,0,1,1,0,1,terca-feira,4.394656,0.16584,0
0,manha,2,7,4,3,70,1,5,2,0,0,terca-feira,50.566231,1.9082,0
0,noite,24,1,1,1,2,0,1,0,0,3,segunda-feira,4.684523,0.176778,0
0,madrugada,84,3,6,7,3229,1,7,0,491,0,sabado,98.759118,14.292104,1
0,noite,13,1,1,0,0,0,1,1,0,0,quarta-feira,4.544391,0.657547,1
0,noite,56,1,2,2,14,0,2,0,0,0,terca-feira,9.377425,0.354508,0
0,noite,36,1,3,3,15,0,3,0,5,0,segunda-feira,13.608883,0.514474,0
0,madrugada,5,2,7,7,2,0,7,0,53,0,sexta-feira,32.459122,1.227135,0
0,noite,31,1,2,2,4,0,2,0,21,0,quinta-Feira,9.149698,1.37967,1
0,noite,98,1,2,2,53,0,2,0,0,4,quarta-feira,9.545917,0.360889,0
0,manha,31,2,3,4,273,2,5,0,14,0,quarta-feira,18.720869,2.863032,1
0,noite,29,2,2,3,172,1,3,0,552,0,terca-feira,28.976247,4.462496,1
0,tarde,27,1,1,1,3,0,1,0,0,0,sexta-feira,4.796066,0.181319,0
0,tarde,105,1,1,1,4,0,1,0,0,1,sexta-feira,4.976921,0.188156,0
0,madrugada,28,1,1,1,32,0,1,0,0,3,terca-feira,4.610465,0.174618,0
0,manha,15,1,1,0,0,0,1,1,0,3,quinta-Feira,4.461126,0.171074,0
0,madrugada,6,1,1,1,4,0,1,0,0,1,quinta-Feira,4.983706,0.191114,1
0,madrugada,2,2,2,3,149,1,4,1,0,0,quarta-feira,14.61772,0.560677,1
