@relation 'hazelcast-data-weka.filters.unsupervised.attribute.StringToNominal-Rfirst-last-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R13,7,8,9,14,6,2,11,4,10,12,17,15,16,18,53'

@attribute doc_files numeric
@attribute num_commits numeric
@attribute files_added numeric
@attribute files_deleted numeric
@attribute other_files numeric
@attribute description_length numeric
@attribute created_at_day_turn {manha,madrugada,noite,tarde}
@attribute files_changed numeric
@attribute forward_links {false,true}
@attribute files_modified numeric
@attribute src_files numeric
@attribute new_entropy numeric
@attribute src_churn numeric
@attribute test_churn numeric
@attribute entropy_diff numeric
@attribute status {0,1}

@data
0,2,1,70,5,13,tarde,101,false,30,97,257.630262,18919,138,1.007889,1
0,2,1,72,5,11,tarde,102,false,29,99,260.235829,18944,138,1.252714,1
0,1,0,0,0,19,tarde,4,false,4,4,18.672114,56,9,0.089883,1
0,1,0,0,0,4,tarde,2,false,2,2,9.231586,6,0,0.044439,1
0,2,0,0,2,24,tarde,97,false,97,260,860.909982,2352,276,4.14422,0
0,1,0,0,1,4,tarde,11,false,11,33,50.163297,64,40,0.241474,0
0,2,0,0,0,4,tarde,16,false,16,28,136.441437,152,36,0.656797,0
0,2,0,0,1,4,tarde,37,false,37,56,336.140351,257,32,1.618101,0
0,1,0,0,0,14,madrugada,1,false,1,1,4.700977,45,0,0.022629,1
0,1,0,0,0,46,tarde,1,false,1,1,4.55526,0,17,0.021928,1
0,1,0,0,0,78,tarde,1,false,1,1,4.288762,41,0,0.020645,0
0,2,1,0,0,4,tarde,158,false,157,168,746.296669,528,25,3.592533,0
0,1,1,0,0,4,tarde,153,false,152,155,705.875887,490,20,3.397954,0
0,1,0,0,1,23,tarde,26,false,26,32,119.165949,90,26,0.549999,1
0,1,0,0,0,12,tarde,7,false,7,7,32.64404,69,0,0.150665,1
0,1,0,0,0,12,noite,4,false,4,4,18.390098,8,35,0.084858,1
0,3,1,0,1,23,noite,316,false,315,317,1325.837094,637,119,6.117879,0
0,2,0,1,0,15,noite,9,false,8,11,71.09935,78,0,0.328079,1
0,5,0,0,0,51,noite,4,false,4,4,36.217465,592,0,0.167121,0
1,2,0,18,4,3,tarde,22,false,4,17,29.827386,1774,1188,0.137635,1
0,1,0,0,0,5,tarde,2,false,2,2,9.26403,3,23,0.042748,1
0,3,0,0,0,5,tarde,9,false,9,9,14.041681,18,92,0.054933,1
1,2,0,187,24,27,tarde,188,false,1,167,4.19813,12656,6208,0.019372,1
0,1,0,0,0,85,tarde,59,false,59,63,272.36518,290,50,1.256797,0
0,1,0,0,1,6,noite,8,false,8,7,37.812552,258,0,0.174482,1
0,9,2,3,2,92,noite,22,false,17,17,163.060939,801,222,0.744822,0
0,2,1,0,1,13,noite,14,false,13,13,62.994311,446,8,0.292872,0
1,2,0,45,18,15,tarde,48,false,3,29,26.059607,3478,3168,0.117232,1
0,1,0,0,0,21,tarde,1,false,1,2,4.238603,43,0,0.019068,1
0,1,0,0,0,16,tarde,28,false,28,33,131.077324,68,44,0.59235,1
0,2,0,0,1,40,tarde,303,false,303,303,2623.95476,1296,26,11.857882,0
0,1,0,0,0,70,noite,8,false,8,8,36.750994,122,140,0.143967,1
0,2,0,0,0,67,noite,14,false,14,14,73.598998,248,280,0.332739,1
0,3,0,0,0,26,noite,3,false,3,3,18.662575,30,0,0.084373,1
0,1,0,0,0,10,tarde,1,false,1,1,4.443083,2,0,0.020087,1
0,2,1,0,2,28,noite,82,false,81,150,733.415859,971,215,3.317208,1
0,1,0,0,1,6,tarde,1,false,1,0,4.014185,0,0,0.018156,1
0,1,0,0,1,29,noite,10,false,10,42,47.297371,96,10,0.213924,1
1,2,0,71,23,31,noite,76,false,5,52,17.777607,5490,4382,0.080725,1
1,1,0,21,7,46,tarde,24,false,3,16,12.593176,753,1130,0.05693,1
0,2,0,0,0,35,tarde,7,false,7,7,64.554592,134,0,0.292073,0
0,2,0,2,0,41,noite,8,false,6,11,54.896158,732,243,0.248374,0
0,2,5,2,0,2,noite,43,false,36,43,99.518689,2315,109,0.450265,1
0,1,0,0,0,17,noite,2,false,2,3,9.068527,8,5,0.04103,1
0,1,0,0,0,45,noite,1,false,1,1,4.455015,16,0,0.020156,1
0,1,4,0,3,12,tarde,13,false,9,10,59.10882,92,124,0.231718,1
0,2,0,0,3,4,tarde,7,false,7,4,13.400797,105,18,0.062303,0
0,1,0,0,0,19,tarde,1,false,1,1,4.708136,7,0,0.021302,1
