@relation 'scala-ide-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R7,2,5,6,9,8,10,14,1,11,12,17,18,16,19,53'

@attribute num_commits numeric
@attribute created_at_day_turn {noite,tarde,manha,madrugada}
@attribute intra_branch {false,true}
@attribute description_length numeric
@attribute files_deleted numeric
@attribute files_added numeric
@attribute files_modified numeric
@attribute other_files numeric
@attribute created_at_week_day {domingo,quarta-feira,terca-feira,segunda-feira,sexta-feira,quinta-Feira,sabado}
@attribute files_changed numeric
@attribute src_files numeric
@attribute new_entropy numeric
@attribute entropy_diff numeric
@attribute test_churn numeric
@attribute commits_on_files_touched numeric
@attribute status {0,1}

@data
10,noite,false,31,0,1,4,0,terca-feira,5,4,66.302534,1.010458,0,0,1
4,noite,false,32,0,0,4,0,sabado,4,4,31.537032,0.48064,0,2,1
1,madrugada,false,18,0,0,2,0,sexta-feira,2,2,9.322418,0.142076,0,20,1
1,tarde,false,8,0,0,1,0,segunda-feira,1,1,4.50467,0.068652,0,5,1
4,noite,false,73,0,0,48,0,domingo,48,48,240.654007,3.667632,0,18,1
1,tarde,false,28,0,0,1,0,domingo,1,1,4.298487,0.06551,0,0,1
1,noite,false,27,0,0,2,0,sexta-feira,2,2,9.324324,0.142105,0,0,1
1,manha,false,6,0,0,1,1,terca-feira,1,0,4.621979,0.07044,0,2,1
36,manha,false,87,3,264,79,148,segunda-feira,346,402,3286.249845,50.083341,1692,16,1
2,noite,false,15,0,0,1,0,domingo,1,1,9.496184,0.144724,0,0,1
1,noite,false,7,0,0,1,0,quinta-Feira,1,1,4.408077,0.067182,0,9,1
1,madrugada,false,18,0,0,1,0,quarta-feira,1,1,4.87598,0.074313,0,10,1
1,noite,false,91,0,0,3,0,segunda-feira,3,3,14.719064,0.224327,0,0,1
1,noite,false,36,0,0,2,0,quinta-Feira,2,2,9.24204,0.140857,0,0,1
8,madrugada,false,19,0,0,5,0,quinta-Feira,5,5,51.787177,0.789285,22,29,1
2,tarde,false,12,0,0,1,0,terca-feira,1,1,8.087404,0.12326,0,2,1
3,madrugada,false,7,0,0,2,0,terca-feira,2,2,27.606785,0.420753,0,10,1
1,noite,false,45,0,0,1,0,domingo,1,1,4.717952,0.071906,0,0,1
1,tarde,false,56,0,0,1,0,quinta-Feira,1,1,4.925934,0.075482,0,0,1
1,madrugada,false,5,0,0,1,0,quinta-Feira,1,1,4.776199,0.073188,0,2,1
1,noite,false,37,0,0,1,0,domingo,1,1,4.830662,0.074022,0,0,1
1,tarde,false,14,0,0,3,3,sexta-feira,3,0,14.284396,0.218886,0,7,1
5,noite,false,24,0,0,4,0,sabado,4,4,23.710633,0.363317,22,26,0
1,tarde,false,39,0,0,1,0,segunda-feira,1,1,4.733403,0.072651,0,0,1
6,noite,false,42,11,0,9,1,quarta-feira,20,19,111.956344,1.71964,0,11,1
16,madrugada,false,21,1,8,17,2,domingo,26,22,200.156095,3.07438,0,17,1
137,madrugada,false,214,32,72,73,4,domingo,177,113,1061.828437,16.357383,0,62,1
1,madrugada,false,19,0,0,4,0,sabado,4,4,17.853127,0.275026,0,8,1
1,noite,false,7,0,0,2,0,sexta-feira,2,2,9.452557,0.145616,0,5,1
2,noite,false,7,0,0,2,0,sexta-feira,2,2,14.739913,0.227067,0,5,1
2,madrugada,false,47,0,0,1,0,sexta-feira,1,1,9.116274,0.140435,0,15,1
1,noite,false,12,0,0,3,3,quarta-feira,3,0,14.343417,0.220958,0,24,1
7,manha,false,27,0,1,3,0,quarta-feira,4,4,28.324484,0.436333,0,14,1
1,noite,false,18,0,0,1,0,quarta-feira,1,1,4.681644,0.07212,0,4,1
1,tarde,false,15,0,0,2,0,quarta-feira,2,2,9.087854,0.139999,0,0,1
1,tarde,false,41,0,0,2,0,quarta-feira,2,2,8.581613,0.132396,0,29,1
