@relation 'pulp-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R4,7,10,6,12,2,11,15,17,18,16,5,8,9,14,53'

@attribute forward_links {false,true}
@attribute num_commits numeric
@attribute files_modified numeric
@attribute description_length numeric
@attribute src_files numeric
@attribute created_at_day_turn {noite,madrugada,tarde,manha}
@attribute files_changed numeric
@attribute src_churn numeric
@attribute new_entropy numeric
@attribute entropy_diff numeric
@attribute test_churn numeric
@attribute intra_branch {false,true}
@attribute files_added numeric
@attribute files_deleted numeric
@attribute other_files numeric
@attribute status {0,1}

@data
false,1,1,16,0,madrugada,1,0,4.521792,0.073821,0,false,0,0,0,1
false,1,2,49,2,noite,2,4,8.063355,0.131638,7,false,0,0,0,1
false,1,1,24,1,noite,1,0,4.656705,0.076022,8,false,0,0,0,1
false,2,3,17,3,tarde,3,42,27.288919,0.445501,94,false,0,0,0,1
false,1,1,9,0,madrugada,1,0,4.595687,0.075028,0,false,0,0,0,1
false,2,14,19,14,noite,14,288,118.573833,1.935804,156,false,0,0,0,1
false,2,2,62,2,madrugada,2,10,13.623172,0.222408,6,false,0,0,0,1
false,2,11,31,12,madrugada,11,42,99.471392,1.623942,0,false,0,0,8,1
false,1,4,19,4,manha,4,6,18.915525,0.308798,8,false,0,0,0,1
false,2,2,28,2,madrugada,2,28,13.490781,0.220243,19,false,0,0,0,1
false,2,2,34,2,madrugada,2,45,17.756696,0.289886,81,false,0,0,0,1
false,1,1,7,0,noite,1,0,4.461634,0.072838,0,false,0,0,1,1
false,2,1,6,0,noite,1,0,9.440228,0.154116,0,false,0,0,1,1
false,1,1,97,1,madrugada,1,131,4.335407,0.071336,0,false,0,0,0,1
false,1,4,8,1,madrugada,12,13,42.29811,0.696079,0,false,8,0,6,1
false,1,1,45,0,madrugada,1,0,3.47641,0.057204,0,false,0,0,1,1
false,1,10,40,10,madrugada,10,912,46.006608,0.757012,844,false,0,0,0,1
false,1,1,42,1,noite,1,3,4.275275,0.070347,0,false,0,0,0,1
false,1,2,8,2,noite,2,3,8.921883,0.146804,20,false,0,0,0,1
false,1,1,8,0,noite,1,0,4.078525,0.06711,0,false,0,0,1,1
false,1,1,42,1,noite,1,30,4.4543,0.073294,0,false,0,0,0,1
false,1,4,9,0,noite,4,0,13.12887,0.215987,0,false,0,0,0,1
false,1,1,4,0,noite,1,0,3.459148,0.056941,0,false,0,0,0,1
false,1,3,92,4,noite,4,40,18.388167,0.302687,20,false,1,0,0,1
false,5,21,122,21,noite,21,278,191.043267,3.144755,237,false,0,0,0,1
false,1,2,45,2,manha,2,6,9.432629,0.155189,24,false,0,0,0,1
false,1,1,10,0,madrugada,1,0,4.36642,0.071788,0,false,0,0,1,1
false,1,1,7,0,madrugada,1,0,4.382969,0.07206,0,false,0,0,1,1
false,1,0,3,1,madrugada,1,52,0,0,0,false,0,1,0,1
false,2,1,8,1,madrugada,1,4,9.420139,0.154876,0,false,0,0,0,1
false,1,2,3,2,madrugada,2,2,8.73926,0.143681,68,false,0,0,0,1
false,2,5,44,4,madrugada,5,36,14.084766,0.231566,20,false,0,0,1,1
