      appium ( )  projeto
      0.4  (     2)  watcher_project
      0.39 (    15)  following
      0.39 (    87)  created_at_week_day
      0.38 (    10)  at_mentions_comments
      0.38 (    62)  perc_external_contribs
      0.35 (    44)  followers
      0.35 (    65)  files_modified
      0.35 (    53)  prior_interaction_pr_events
      0.35 (    53)  files_changed
      0.34 (    49)  sloc
      0.34 (    42)  test_lines_per_kloc
      0.34 (    12)  files_deleted
      0.33 (    43)  first_response
      0.31 (    50)  project_age
      0.31 (    39)  requester_succ_rate
      0.3  (    36)  prior_interaction_pr_comments
      0.3  (    35)  test_cases_per_kloc
      0.29 (    32)  requester_age
      0.29 (    35)  asserts_per_kloc
      0.28 (    52)  prior_interaction_issue_events
      0.27 (    13)  forward_links
      0.24 (    15)  main_team_member
      0.24 (    37)  prior_interaction_issue_comments
      0.23 (     9)  intra_branch
      0.23 (    29)  stars
      0.2  (    44)  prior_interaction_commits
      0.18 (     3)  ci
      0.15 (     8)  doc_files
      0.1  (     4)  prior_interaction_commit_comments
      0    (     0)  conflict
      0    (     0)  at_mentions_description
      0    (     0)  integrator_follows_req
      pouchdb ( )  projeto
      0.63 (   351)  files_name
      0.46 (    16)  files_deleted
      0.42 (   390)  description_length
      0.37 (    10)  main_team_member
      0.37 (   421)  new_entropy
      0.36 (   354)  entropy_diff
      0.35 (   212)  files_modified
      0.34 (   285)  hotness
      0.33 (    32)  intra_branch
      0.33 (   306)  created_at_day_turn
      0.32 (   262)  commits_to_hottest_file
      0.32 (   321)  src_churn
      0.32 (   202)  num_commits
      0.31 (   302)  commits_on_files_touched
      0.31 (    86)  at_mentions_comments
      0.3  (   541)  created_at_week_day
      0.29 (   194)  files_changed
      0.29 (   329)  project_succ_rate
      0.29 (    71)  forward_links
      0.29 (    50)  doc_files
      0.28 (   244)  first_response
      0.28 (    78)  following
      0.28 (    28)  at_mentions_description
      0.27 (   246)  requester_succ_rate
      0.26 (   211)  requester
      0.26 (   189)  src_files
      0.26 (   240)  workload
      0.25 (    74)  files_added
      0.25 (   191)  test_churn
      0.25 (    44)  integrator_follows_req
      0.25 (   233)  test_cases_per_kloc
      0.24 (   432)  perc_external_contribs
      0.24 (   200)  prior_interaction_pr_events
      0.24 (   412)  prev_pull_reqs_project
      0.23 (   185)  followers
      0.23 (   253)  prev_pullreqs
      0.23 (   286)  prior_interaction_issue_comments
      0.23 (   229)  team_size
      0.22 (   255)  test_lines_per_kloc
      0.22 (   267)  stars
      0.22 (   251)  prior_interaction_issue_events
      0.21 (   298)  prior_interaction_commits
      0.21 (   343)  sloc
      0.21 (   220)  project_age
      0.2  (   139)  other_files
      0.2  (   269)  requester_age
      0.19 (   270)  asserts_per_kloc
      0.19 (   169)  prior_interaction_commit_comments
      0.18 (   131)  req_follows_integrator
      0.15 (   406)  prior_interaction_pr_comments
      0.14 (    29)  watcher_project
      0    (     0)  ci
      0    (     0)  conflict
      pulp ( )  projeto
      0.68 (     2)  at_mentions_comments
      0.42 (    72)  entropy_diff
      0.42 (    78)  new_entropy
      0.42 (    30)  files_added
      0.4  (    66)  commits_on_files_touched
      0.39 (   150)  files_name
      0.33 (   120)  description_length
      0.33 (    47)  created_at_day_turn
      0.31 (    41)  num_commits
      0.31 (    51)  files_modified
      0.31 (    50)  hotness
      0.3  (    52)  commits_to_hottest_file
      0.29 (    65)  requester_succ_rate
      0.29 (    24)  other_files
      0.26 (    19)  files_deleted
      0.24 (    45)  test_churn
      0.24 (    75)  files_changed
      0.23 (   100)  src_churn
      0.2  (    13)  following
      0.19 (   191)  project_succ_rate
      0.16 (    70)  src_files
      0.16 (    89)  sloc
      0.15 (    81)  asserts_per_kloc
      0.15 (   130)  test_lines_per_kloc
      0.15 (    21)  doc_files
      0.14 (     5)  intra_branch
      0.14 (    52)  stars
      0.14 (   155)  perc_external_contribs
      0.13 (    39)  team_size
      0.13 (   181)  prev_pull_reqs_project
      0.11 (   111)  test_cases_per_kloc
      0.11 (   310)  created_at_week_day
      0.1  (   214)  first_response
      0.09 (   238)  workload
      0.08 (   144)  project_age
      0.08 (   209)  prior_interaction_commits
      0.08 (   201)  prior_interaction_pr_events
      0.07 (   256)  requester
      0.06 (   283)  prev_pullreqs
      0.06 (     3)  prior_interaction_issue_events
      0.06 (   189)  prior_interaction_issue_comments
      0.06 (     5)  main_team_member
      0.05 (   136)  requester_age
      0.05 (   176)  followers
      0.04 (   224)  prior_interaction_pr_comments
      0.03 (    44)  watcher_project
      0    (     1)  req_follows_integrator
      0    (     0)  prior_interaction_commit_comments
      0    (     0)  forward_links
      0    (     0)  conflict
      0    (     0)  at_mentions_description
      0    (     0)  integrator_follows_req
      0    (     0)  ci
      rosdistro ( )  projeto
      0.49 (     6)  src_churn
      0.42 (  1292)  entropy_diff
      0.42 (  1474)  new_entropy
      0.41 (    23)  src_files
      0.4  (   982)  description_length
      0.4  (  1435)  project_succ_rate
      0.38 (  1587)  prev_pull_reqs_project
      0.37 (  1164)  commits_on_files_touched
      0.37 (   866)  created_at_day_turn
      0.37 (    29)  intra_branch
      0.36 (    60)  at_mentions_description
      0.36 (  1076)  hotness
      0.36 (  1001)  commits_to_hottest_file
      0.34 (  1221)  prev_pullreqs
      0.32 (  1240)  requester_succ_rate
      0.32 (  1115)  created_at_week_day
      0.32 (   646)  first_response
      0.32 (   366)  num_commits
      0.32 (   554)  files_name
      0.31 (  1024)  prior_interaction_pr_events
      0.31 (   248)  at_mentions_comments
      0.3  (   651)  workload
      0.29 (  1185)  perc_external_contribs
      0.25 (   192)  forward_links
