@relation 'pulp-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R6,20,29,38,39,40,42,46,50,51,52,53'

@attribute description_length numeric
@attribute commits_to_hottest_file numeric
@attribute test_cases_per_kloc numeric
@attribute requester_succ_rate numeric
@attribute followers numeric
@attribute following numeric
@attribute main_team_member {true,false}
@attribute prior_interaction_issue_events numeric
@attribute prior_interaction_commits numeric
@attribute prior_interaction_commit_comments numeric
@attribute first_response numeric
@attribute status {0,1}

@data
92,20,99.594868,0.888889,7,2,true,0,8,0,10,1
103,6,95.829243,875,7,2,true,0,8,0,15,1
103,25,98.000916,1,7,2,true,0,8,0,0,0
6,14,98.000916,0.942169,13,3,true,0,42,0,-1,1
7,0,96.010882,0.859813,5,0,true,0,126,0,3954,1
28,3,99.137799,0.942029,13,3,true,0,41,0,-1,1
92,3,99.137799,0.941889,13,3,true,0,41,0,32,1
66,29,98.000916,0.923913,7,2,true,0,44,0,13,1
11,0,96.010882,0.858491,5,0,true,0,121,0,-1,1
35,10,98.000916,0.941748,13,3,true,0,43,0,-1,1
9,24,98.000916,0.941606,13,3,true,0,43,0,-1,1
8,6,97.716868,0.923077,7,2,true,0,41,0,2,1
88,12,98.000916,1,7,2,true,0,8,0,1,1
56,4,95.829243,0.946309,18,0,true,0,24,0,-1,1
62,0,99.594868,0.857143,5,0,true,0,121,0,-1,1
40,20,97.729369,0.922222,7,2,true,0,41,0,3,1
62,0,96.010882,0.855769,5,0,true,0,118,0,-1,1
62,4,97.892714,1,7,2,true,0,5,0,-1,1
7,4,97.892714,1,7,2,true,0,5,0,72,1
2,20,99.318642,0.923077,6,0,true,0,22,0,-1,1
9,12,97.907644,0.941463,13,3,true,0,42,0,834,1
75,4,97.746152,0.921348,7,2,true,0,38,0,-1,1
7,18,99.318642,0.949153,11,0,true,0,40,0,-1,1
15,6,97.822108,0.920455,7,2,true,0,38,0,18,1
9,10,97.822108,0.91954,7,2,true,0,38,0,281,1
271,0,97.822108,1,7,2,true,0,3,0,1,1
5,24,97.816141,0.921875,6,0,true,0,22,0,-1,1
10,0,97.816141,0.864078,5,0,true,0,123,0,37,0
94,12,97.816141,0.94132,13,3,true,0,40,0,-1,1
7,6,97.816141,0.941176,13,3,true,0,40,0,-1,1
36,13,99.318642,0.862745,5,0,true,0,125,0,-1,1
9,3,96.010882,0.945946,18,0,true,0,19,0,6886,1
9,0,97.773978,0.941032,13,3,true,0,40,0,96,1
16,11,97.773978,0.945578,18,0,true,0,16,0,-1,1
14,9,99.318642,0.945205,18,0,true,0,15,0,-1,1
8,6,97.700272,0.918605,7,2,true,0,35,0,1,1
14,34,97.700272,0.973118,9,0,true,0,31,0,11,1
6,4,97.702178,0.916667,7,2,true,0,33,0,266,1
25,15,98.498642,0.917647,7,2,true,0,34,0,235,1
9,8,97.787273,0.972973,9,0,true,0,30,0,17,1
12,0,99.318642,0.815603,18,12,true,0,57,0,275,1
78,34,97.787273,0.814286,18,12,true,0,57,0,1457,1
8,0,96.010882,0.861386,5,0,true,0,122,0,24,1
74,11,98.498642,0.915663,7,2,true,0,31,0,8178,1
19,3,97.787273,0.972826,9,0,true,0,29,0,42,1
66,34,97.787273,0.972678,9,0,true,0,29,0,10296,1
7,9,97.787273,0.914634,7,2,true,0,30,0,71,1
26,6,97.787273,0.820144,18,12,true,0,56,0,3,0
51,8,97.787273,1,7,2,true,0,1,0,2,1
7,8,97.787273,0.94321,13,3,true,0,39,0,-1,1
13,18,97.787273,0.944828,18,0,true,0,17,0,-1,1
35,2,97.787273,1,7,2,true,0,1,0,-1,1
66,34,97.787273,0.978022,9,0,true,0,28,0,-1,0
40,0,97.787273,0.818841,18,12,true,0,54,0,4324,1
20,2,97.787273,0.817518,18,12,true,0,54,0,-1,1
43,4,98.426725,0.9375,7,2,true,0,28,0,-1,0
173,7,97.785922,0,7,2,false,0,0,0,58,1
5,7,97.680247,0.936709,7,2,true,0,25,0,1,1
51,12,97.680247,0.943069,13,3,true,0,41,0,-1,1
6,2,97.680247,0.935897,7,2,true,0,24,0,9,1
69,11,97.680247,0.816176,18,12,true,0,53,0,9,1
9,0,97.680247,0.86,5,0,true,0,121,0,2372,1
56,8,97.680247,0.945409,13,3,true,0,41,0,-1,0
5,0,97.680247,0.945274,13,3,true,0,41,0,-1,1
9,14,99.318642,0.977901,9,0,true,0,26,0,-1,1
5,0,99.137799,0.858586,5,0,true,0,116,0,1,1
30,13,98.426725,0.935065,7,2,true,0,24,0,-1,1
14,0,99.318642,0.920635,6,0,true,0,19,0,-1,1
204,8,97.680247,0.94898,11,0,true,0,41,0,-1,1
8,0,97.680247,0.814815,18,12,true,0,50,0,-1,1
28,0,97.680247,0.813433,18,12,true,0,50,0,-1,1
70,2,98.346466,0.948805,11,0,true,0,41,0,19,1
54,11,97.595258,0.945137,13,3,true,0,46,0,-1,1
133,52,98.346466,0.94863,11,0,true,0,41,0,56,1
160,50,98.332736,0.948454,11,0,true,0,39,0,19,1
14,6,97.292336,0.977778,9,0,true,0,25,0,-1,1
46,32,97.292336,0.944444,18,0,true,0,21,0,342,1
6,0,99.232894,0.857143,5,0,true,0,118,0,-1,1
19,26,95.684915,0.934211,7,2,true,0,21,0,-1,1
17,4,95.684915,0.948276,11,0,true,0,37,0,-1,1
